Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6,64000,118,adventure
Twisters,6.5,169000,122,adventure
Gladiator II,6.5,231000,148,adventure
Moana 2,6.6,102000,100,adventure
Flow,7.9,75000,85,adventure
Sonic the Hedgehog 3,6.9,60000,110,adventure
Kraven the Hunter,5.5,55000,127,adventure
Deadpool & Wolverine,7.6,493000,128,adventure
Paddington in Peru,6.7,21000,106,adventure
Dune: Part Two,8.5,625000,166,adventure
Venom: The Last Dance,6.0,118000,110,adventure
The Count of Monte-Cristo,7.6,35000,178,adventure
Freaky Tales,6.7,2000,107,adventure
Furiosa: A Mad Max Saga,7.5,285000,148,adventure
Transformers One,7.6,51000,104,adventure
Borderlands,4.7,48000,101,adventure
The Return,6.2,8700,116,adventure
Despicable Me 4,6.2,66000,94,adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4300,91,adventure
Madame Web,4.0,101000,116,adventure
Inside Out 2,7.5,217000,96,adventure
The Lord of the Rings: The War of the Rohirrim,6.3,31000,134,adventure
Bad Boys: Ride or Die,6.5,100000,115,adventure
Red One,6.3,140000,123,adventure
Solo Leveling: ReAwakening,8.8,12000,121,adventure
Love Lies Bleeding,6.6,57000,104,adventure
Damsel,6.1,110000,110,adventure
Godzilla x Kong: The New Empire,6.0,122000,115,adventure
Ghostbusters: Frozen Empire,6.1,94000,115,adventure
Kingdom of the Planet of the Apes,6.9,152000,145,adventure
Spaceman,5.7,43000,107,adventure
Kung Fu Panda 4,6.3,68000,94,adventure
Survive,4.5,2600,90,adventure
Uglies,4.7,33000,100,adventure
The Garfield Movie,5.7,24000,101,adventure
My Penguin Friend,6.7,5200,97,adventure
Harold and the Purple Crayon,5.7,8400,90,adventure
Attack on Titan the Movie: The Last Attack,9.2,16000,145,adventure
Atlas,5.6,56000,118,adventure
Descendants: The Rise of Red,4.7,7100,91,adventure
Monster Summer,5.7,3700,97,adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,35000,82,adventure
Kalki 2898 AD,7.0,67000,180,adventure
Spellbound,5.5,7400,109,adventure
Arthur the King,7.0,34000,107,adventure
Night of the Zoopocalypse,6.0,683,91,adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,adventure
Hitpig,5.1,952,86,adventure
Thelma the Unicorn,5.7,3000,93,adventure
Family Pack,5.5,9100,94,adventure
The Best Christmas Pageant Ever,6.8,6100,99,adventure
No Way Up,4.6,11000,90,adventure
Buffalo Kids,6.6,698,93,adventure
Megamind vs. The Doom Syndicate,2.5,5600,83,adventure
The Unholy Trinity,7.9,55,93,adventure
Orion and the Dark,6.3,17000,93,adventure
Bookworm,6.0,1900,103,adventure
Lost on a Mountain in Maine,6.1,1200,98,adventure
The Goat Life,7.1,47000,173,adventure
Winner,6.5,2500,103,adventure
The Courier,6.0,4400,101,adventure
Sasquatch Sunset,5.4,5400,88,adventure
Hanu Man,7.7,29000,158,adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,adventure
River of Blood,5.2,1800,86,adventure
"I, the Executioner",6.4,1800,118,adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,adventure
Badland Hunters,5.9,12000,107,adventure
The Last of Us: Immunity,5.0,20,64,adventure
My Hero Academia: You're Next,7.0,2200,110,adventure
That Christmas,6.8,17000,91,adventure
Raqa,5.5,223,107,adventure
Ultraman: Rising,6.9,6400,117,adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,adventure
The Price of Money: A Largo Winch Adventure,5.0,1200,100,adventure
Manjummel Boys,8.2,27000,135,adventure
Something in the Water,4.1,4700,86,adventure
Woody Woodpecker Goes to Camp,4.5,2600,100,adventure
No Chains No Masters,6.4,559,98,adventure
The Wages of Fear,4.6,4100,104,adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82,adventure
The Empire,5.2,1200,110,adventure
Anaconda,4.9,637,84,adventure
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115,adventure
Cult Killer,4.8,2800,105,adventure
Chuck Billy and the Marvelous Guava Tree,7.4,1000,90,adventure
Dragonkeeper,5.7,1700,98,adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,5400,94,adventure
Eat the Night,6.1,487,106,adventure
200% Wolf,5.9,1300,98,adventure
Angels Fallen: Warriors of Peace,4.9,5800,103,adventure
Sixty Minutes,5.7,5200,88,adventure
Saint-Exupéry,5.4,336,98,adventure
The Twisters,2.5,341,86,adventure
Escape,6.4,2000,94,adventure
The Tiger's Apprentice,5.7,2200,84,adventure
Golden Kamuy,6.3,2600,127,adventure
Overlord: The Sacred Kingdom,6.9,1000,135,adventure
Bambi: A Tale of Life in the Woods,5.7,178,78,adventure
Operation Blood Hunt,3.4,489,93,adventure
Panda Bear in Africa,5.5,349,84,adventure
Autumn and the Black Jaguar,5.6,1000,100,adventure
Bade Miyan Chote Miyan,3.7,39000,163,adventure
Gaami,6.4,2000,147,adventure
Crayon Shin-chan: Ora's Dinosaur Diary,6.5,363,106,adventure
Kanguva,4.5,15000,152,adventure
Unspeakable: Beyond the Wall of Sleep,6.1,55,90,adventure
A.R.M,7.1,8700,150,adventure
A Sloth Story,5.6,207,90,adventure
Mountain Boy,8.4,26,93,adventure
Rebellious,6.0,196,94,adventure
Devil's Knight,5.2,902,90,adventure
A Legend,4.7,914,129,adventure
The Last Redemption,6.5,3700,122,adventure
The Firing Squad,5.1,5000,93,adventure
Man and Witch: The Dance of a Thousand Steps,5.5,333,94,adventure
Elli and the Ghostly Ghost Train,5.1,101,86,adventure
WWII: Operation Phoenix,6.2,80,106,adventure
War of the Worlds: Extinction,3.0,208,84,adventure
Lumina,2.1,674,113,adventure
Thangalaan,6.6,6600,156,adventure
Cells at Work!,6.7,256,109,adventure
Noah's Ark,4.3,663,96,adventure
Dongeng Sang Kancil,6.7,177,99,adventure
Planetquake,3.0,308,85,adventure
Meanwhile on Earth,6.0,917,89,adventure
Bionic,4.3,1700,110,adventure
Escape from the 21st Century,6.5,891,98,adventure
Robin and the Hoods,4.3,512,100,adventure
Gracie and Pedro: Pets to the Rescue,5.1,276,87,adventure
This Too Shall Pass,8.9,14,105,adventure
School of Magical Animals 3,5.8,315,105,adventure
All for One,1.4,662,97,adventure
Return to Wickensburg,5.0,30,88,adventure
Roadkill,3.7,687,90,adventure
Big City Greens the Movie: Spacecation,6.2,545,83,adventure
Pimpinero: Blood and Oil,5.6,552,121,adventure
The Keepers of the 5 Kingdoms,4.0,220,109,adventure
The Last Ronin,4.9,577,115,adventure
The Mountain,6.6,158,89,adventure
Warrior Awang and Master Tok Gajah,4.6,476,118,adventure
The Goat,5.7,193,91,adventure
No Time to Spy: A Loud House Movie,6.4,450,81,adventure
Kvitebjørn,5.9,62,85,adventure
I Heart Robots,4.5,2400,76,adventure
Dalia y el Libro Rojo,6.5,95,107,adventure
Gladiators,4.8,67,95,adventure
Spiders on a Plane,5.1,374,78,adventure
Barroz: Guardian of Treasures,3.5,1000,155,adventure
Rally Caps,5.5,140,100,adventure
Never Look Away,7.2,265,85,adventure
One Million Babes BC,2.1,86,75,adventure
Oscar Wilde About America,4.4,30,98,adventure
Beyond existence,4.2,22,95,adventure
My Freaky Family,6.3,407,86,adventure
My Oni Girl,6.0,1800,112,adventure
"Maya, donne-moi un titre",6.4,54,61,adventure
The Kingdom,7.7,93,133,adventure
Marianengraben,7.4,84,87,adventure
Going Viral,6.9,53,90,adventure
Ayalaan,6.0,4000,155,adventure
Mobile Suit Gundam SEED Freedom,6.6,954,124,adventure
Diplodocus,6.3,179,90,adventure
The Phantom Warrior,2.4,555,119,adventure
Guest from the Future,6.0,1200,141,adventure
Seven Seas Seven Hills,8.7,90,90,adventure
Si Juki the Movie: Harta Pulau Monyet,6.0,121,107,adventure
Odio el verano,5.1,589,103,adventure
Storm Crashers,6.2,565,88,adventure
Road Wars: Max Fury,2.0,350,83,adventure
Five Friends,6.7,914,112,adventure
The Casagrandes Movie,5.6,667,89,adventure
A Trip Elsewhere,5.5,104,93,adventure
Earthquake Underground,3.3,197,83,adventure
Rocky Road to Berlin,7.2,1400,104,adventure
STEVE (A Minecraft Movie),6.9,12,61,adventure
Dünya Varmis,7.2,54,100,adventure
Fox & Hare Save the Forest,5.9,204,71,adventure
Treasure Trackers,5.8,163,92,adventure
Ahl Al Kahf,5.3,266,120,adventure
Kalvan,5.6,985,142,adventure
Bureau 749,4.0,536,123,adventure
Luigi's Mansion,6.0,17,60,adventure
The Traveller,5.2,208,134,adventure
Oculus,6.0,15,113,adventure
Shrek 5: The Contract - A Fan Made Film,7.0,19,84,adventure
My Fathers' Daughter,6.7,74,78,adventure
The Lost Tiger,7.9,45,90,adventure
The Epidemic,5.8,71,95,adventure
Amazon Bullseye,5.3,204,113,adventure
Buddy,3.8,346,137,adventure
Die Chaosschwestern und Pinguin Paul,5.7,68,100,adventure
Memes & Nightmares,5.7,86,81,adventure
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,22,90,adventure
Captain Miller,6.5,8600,157,adventure
Bremenskie muzykanty,4.7,673,115,adventure
Sunlight,7.9,17,96,adventure
Empire Queen: The Golden Age of Magic,3.2,204,148,adventure
Taklee Genesis x Worlds Collide,5.4,413,146,adventure
The Trail,7.8,37,80,adventure
Shanghai Story,8.2,58,71,adventure
Game On,2.6,354,85,adventure
Spirit Riser,6.7,33,98,adventure
The Backrooms,6.8,9,63,adventure
Kodaikanal,9.2,69,173,adventure
Sam and Colby: The Legends of the Paranormal,4.8,307,98,adventure
At Her Feet,7.4,43,100,adventure
Vertical,5.2,134,111,adventure
Daye: Seret ahl el Daye,7.9,17,104,adventure
Un lío de millones,6.0,50,91,adventure
Its Name Was Mormo,3.7,115,93,adventure
Bull Shark 3,3.5,85,76,adventure
The Big Trip 3: Race Around the World,5.6,59,85,adventure
Zak & Wowo: The Legend of Lendarys,5.7,98,85,adventure
Jathara,7.8,1100,129,adventure
Formed Police Unit,4.6,479,120,adventure
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0,33,50,adventure
Transformers Prime: Galavatron's Revenge,3.5,11,104,adventure
Niko: Beyond the Northern Lights,6.2,335,86,adventure
Stinky Summer,5.6,51,90,adventure
The Forest,6.3,49,77,adventure
Powder Pup,6.2,76,89,adventure
Dragon Ball Z Kai,8.5,73,82,adventure
This Land of Mine,5.7,11,90,adventure
Friendly Fire,5.5,39,105,adventure
Trifole,7.5,52,100,adventure
The Adventures of Jurassic Pet: Return to the Wild,5.4,65,90,adventure
Jurassic Triangle,2.5,282,84,adventure
Kaizen,7.3,653,160,adventure
Little Emma,5.9,114,106,adventure
Dead Dead Demon's Dededede Destruction,7.0,145,120,adventure
Dreams,7.6,8,106,adventure
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5.7,9,74,adventure
Askepote,3.5,83,72,adventure
Lo carga el diablo,7.3,24,103,adventure
Captain Avispa,5.8,178,96,adventure
Yolki 11,4.7,170,92,adventure
Death Game,6.3,24,88,adventure
Diving Into the Darkness,9.1,84,96,adventure
The Star City Murders,4.2,143,79,adventure
Next to Us,4.8,225,125,adventure
Birds Flying East,5.8,567,100,adventure
Mong Vuot,5.2,125,96,adventure
Satu - Year of the Rabbit,9.1,56,93,adventure
Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65,adventure
Teenz,4.4,864,122,adventure
LasseMajas detektivbyrå - Maskoten som försvann,6.0,60,90,adventure
Ghost Island,7.3,47,95,adventure
Tulang Belulang Tulang,7.0,47,95,adventure
Fuuto PI: Portrait of Kamen Rider Skull,7.5,43,82,adventure
Z-Mom,4.9,45,90,adventure
The Slave and the Sorcerer,6.7,40,86,adventure
Håkan Bråkan 2,5.4,135,92,adventure
Dünya Mali: Eksi Bir,7.2,17,133,adventure
Stranded Pearl,6.0,27,90,adventure
Gepack,6.6,360,97,adventure
Witch Hunter,5.3,24,80,adventure
Letuchiy korabl,3.8,298,100,adventure
Permafrost,5.7,115,80,adventure
The Umbrella Fairy,5.5,54,95,adventure
Tri kota. Zimnie kanikuly,6.5,31,65,adventure
Major Grom: The Game,6.1,1900,168,adventure
Turma da Mônica Jovem: Reflexos do Medo,2.8,258,88,adventure
Arctic Hollow,2.3,181,70,adventure
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0,35,71,adventure
Masha i Medved v kino: Park chudes,7.6,17,58,adventure
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,72,70,adventure
Historia de pastores,5.5,34,80,adventure
The Worlds Divide,8.1,39,120,adventure
Benjamin Bat,7.9,30,75,adventure
Baba Yaga spasaet Novyy god,4.4,116,99,adventure
Yaren Leylek,5.9,28,95,adventure
The Yoshi Movie,7.7,12,105,adventure
Cazatesoros,6.4,28,106,adventure
Hain,2.9,45,95,adventure
Güzel Bir Rüya,4.7,44,79,adventure
BAM!,6.9,29,80,adventure
Naa Saami Ranga,4.5,1200,150,adventure
Tri bogatyrya. Ni dnya bez podviga,5.7,70,61,adventure
Igrisca ne damo!,7.0,27,79,adventure
Tay 2: Ebabil Takimi,5.2,38,78,adventure
Rocky and Bullwinkle,9.2,13,100,adventure
Xibalba Monster,6.5,29,76,adventure
Vikaasaparva,8.7,541,134,adventure
Six Nine Five (695),7.1,705,137,adventure
Dead Dead Demon's Dededede Destruction Zenpen,7.1,140,120,adventure
Dikkie Dik en de Verdwenen Knuffel,7.3,130,62,adventure
Tipppsy,8.2,33,115,adventure
Abudeka Is Back,5.3,35,120,adventure
Ognivo,5.5,227,105,adventure
Chernyy zamok,7.9,19,115,adventure
"Silex and the City, le film",4.9,50,77,adventure
Appu,8.6,182,92,adventure
Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,adventure
The Secret of Pin-Up Island,7.4,92,107,adventure
Moy dikiy drug,6.5,58,100,adventure
Two Breaths,8.2,29,18,adventure
Nothing Unusual,8.9,13,92,adventure
Mobile Suit Gundam: Silver Phantom,6.1,13,90,adventure
Oyunda Kal: Eglence Arenasi,2.6,36,92,adventure
Pui Pui Molcar the Movie: Molmax,7.0,9,69,adventure
Surge of Power: Where There's Smoke,6.5,13,68,adventure
The Eye of the Salamander,7.9,20,81,adventure
Bratya,2.8,122,103,adventure
Goodbye Hamdi,6.2,10,85,adventure
Cândido,6.3,61,99,adventure
Chhota Bheem and the Curse of Damyaan,4.8,2300,145,adventure
Fights Break Sphere 3,4.7,8,81,adventure
Wilhelm Gustloff,8.7,8,110,adventure
Mama,8.5,7,100,adventure
Joachim and the Apocalypse,7.2,13,90,adventure
Triple 7: They Said It Couldn't Be Done,8.5,14,97,adventure
Adam i Eva,5.1,94,95,adventure
Steal the Naughty List,6.4,120,90,adventure
The Last Five Days: The Freak Building,3.8,58,61,adventure
Samaya bolshaya luna,2.4,128,105,adventure
Poklad,4.5,42,100,adventure
Petualangan Anak Penangkap Hantu,6.0,25,99,adventure
Operation Wakaliga: Fate and Blood,6.7,11,66,adventure
Manyunya. Priklyucheniya v derevne,5.8,121,84,adventure
Zoloto Umalty,4.9,109,109,adventure
Jaunt,8.4,7,78,adventure
Hope & Glory,6.6,145,44,adventure
Vasilisa i khraniteli vremeni,3.1,69,98,adventure
Kiyma: Orman Kanunlari,4.5,36,81,adventure
Suchana,8.8,511,90,adventure
Antarctic Voyage,6.8,6,48,adventure
The Dragon's Tomb,6.8,52,77,adventure
Manyunya. Priklyucheniya v Moskve,5.8,111,87,adventure
Mortadella,8.4,7,90,adventure
Anytime,8.9,20,62,adventure
The Very Last Christmas,8.5,12,75,adventure
Piraty galaktiki Barrakuda,4.5,82,92,adventure
Troy the Bharat Putra,5.5,31,134,adventure
Longe da Estrada,6.0,9,68,adventure
"Fallen Leaves, Broken Lighters",7.7,7,96,adventure
De Legende van Familie Vos,5.7,59,81,adventure
Suvorovets 1944,5.1,9,90,adventure
V potoke trekh stikhiy,5.2,42,85,adventure
Mai Martaba,4.9,10,86,adventure
Wonderland,6.8,12,120,adventure
Advent,7.5,6,119,adventure
Heavens: The Boy and His Robot,6.3,22,98,adventure
Príncipe Lu e a Lenda do Dragão,4.1,28,90,adventure
Yasmeen's Element,7.6,20,76,adventure
Kade,6.7,16,92,adventure
Novogodniy ekspress,9.2,6,47,adventure
Tur s Ivanushkami,5.3,159,111,adventure
The Ballad of Straw Hat Sam,9.2,10,45,adventure
Bar MoskvaChiki,5.2,102,91,adventure
The Bigfoot Prophecy,4.8,23,117,adventure
LUDA,7.2,6,86,adventure
Tayna Chyornoy Ruki,5.7,23,84,adventure
Novyy god v Beryozovke,7.1,99,94,adventure
Tracing the Divide,8.8,170,84,adventure
Abar Arownne Din Ratri,8.0,8,111,adventure
Dracu Ra,5.5,38,106,adventure
Il ricercatore,5.8,7,71,adventure
A Christmas Carol,9.8,11,39,adventure
Applepictures the Poseidon Legacy,6.4,19,84,adventure
No More Trouble - Cosa rimane di una tempesta,8.5,19,97,adventure
StarGazer: The Need of the Many,5.0,9,47,adventure
Chyortov kamen,4.8,16,105,adventure
Dandelion,8.9,9,95,adventure
Kyle and the Last Emerald 2,8.4,8,15,adventure
"Poymay sobaku, esli smozhesh",3.5,36,96,adventure
Moy lyubimyy chempion,2.4,418,95,adventure
Frankenstein Theater: The Magic Sword,4.4,23,82,adventure
Colour Palette,9.2,34,87,adventure
Lajjpal,9.0,8,252,adventure
The Blinkless,7.8,12,59,adventure
YA - medved,5.0,61,97,adventure
Mesken (Messuage),7.5,38,102,adventure
Isle: Alpha One,8.4,7,97,adventure
Mukhadrakon,5.3,18,109,adventure
Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65,adventure
PW V: Tears of the Fallen,8.2,11,60,adventure
Pirates & Slaves,5.8,6,53,adventure
Turbozavry. God drakona,9.2,43,48,adventure
Ngesot,4.8,18,87,adventure
Sehnsucht nach Firdaws,8.5,6,103,adventure
Let's Go! Anpanman: Baikinman and Lulun,6.5,7,64,adventure
Selebryata,3.8,20,93,adventure
Banana Boat,5.7,20,78,adventure
Boom!,8.3,11,90,adventure
Luccas e Gi em: Dinossauros,3.5,27,91,adventure
Whites Only: Ade's Extremist Adventure,7.0,27,65,adventure
I'm Professional,3.7,8,95,adventure
Gostya iz kosmosa,8.5,6,70,adventure
Okhota na russkogo geniya,5.3,11,71,adventure
Piri Reis: The Incredible Chart,6.9,22,138,adventure
Beyaz Zenciler: Yapim Asamasi,8.6,5,55,adventure
The Kingfish 2,7.9,10,72,adventure
A Complete Unknown,7.4,76000,141,biography
I'm Still Here,8.3,105000,137,biography
The Apprentice,7.1,55000,122,biography
Queer,6.4,21000,137,biography
Better Man,7.6,27000,135,biography
Saturday Night,6.9,30000,109,biography
Queen of the Ring,6.9,949,140,biography
Maria,6.4,19000,124,biography
William Tell,5.7,2500,133,biography
One to One: John & Yoko,7.3,329,101,biography
Nr. 24,7.5,15000,111,biography
Bob Marley: One Love,6.2,35000,107,biography
Back to Black,6.3,27000,122,biography
Ordinary Angels,7.4,16000,118,biography
Unfrosted,5.5,35000,97,biography
Reagan,6.1,11000,141,biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3600,133,biography
Joy,7.1,9400,115,biography
Young Woman and the Sea,7.5,17000,129,biography
Cabrini,7.3,8800,142,biography
Amaran,8.1,19000,167,biography
Midas Man,6.4,1600,112,biography
The Fire Inside,6.7,2600,109,biography
Piece by Piece,6.9,5500,93,biography
Scoop,6.5,20000,102,biography
Rob Peace,6.5,2100,120,biography
Faith of Angels,5.8,233,98,biography
Harbin,6.3,678,108,biography
Goebbels and the Führer,6.7,2200,135,biography
The Remarkable Life of Ibelin,8.2,12000,103,biography
Monsieur Aznavour,7.3,2400,133,biography
Winner,6.5,2500,103,biography
Being Maria,6.1,613,100,biography
Audrey's Children,7.0,380,110,biography
Inexplicável,7.2,177,116,biography
Super/Man: The Christopher Reeve Story,8.0,9100,104,biography
Maharaj,6.5,15000,131,biography
Oxana,6.5,51,103,biography
Stelios,7.3,1400,132,biography
Fanon,6.8,103,132,biography
Niki,6.0,367,98,biography
Limonov: The Ballad of Eddie,6.0,807,138,biography
Race for Glory: Audi vs. Lancia,5.8,4700,109,biography
"From Hilde, with Love",7.0,935,125,biography
Saint-Exupéry,5.4,336,98,biography
El 47,7.2,3400,110,biography
Chhava,8.5,2200,51,biography
Riefenstahl,7.2,518,115,biography
Boléro,6.6,790,120,biography
Srikanth,7.4,14000,134,biography
Avicii - I'm Tim,7.7,7000,95,biography
Freedom,5.9,1400,110,biography
Shirley,6.2,3300,117,biography
"Sarah Bernhardt, la divine",5.9,214,98,biography
Prodigieuses,6.6,172,101,biography
Blue Road: The Edna O'Brien Story,8.2,64,99,biography
Quisling: The Final Days,7.1,1100,146,biography
Chandu Champion,7.8,34000,142,biography
Drazen,6.6,1300,100,biography
Pavements,7.1,168,128,biography
Music by John Williams,8.2,4800,105,biography
The Firing Squad,5.1,5000,93,biography
Liza: A Truly Terrific Absolutely True Story,7.8,250,104,biography
Bogart: Life Comes in Flashes,6.8,427,99,biography
Maidaan,7.9,23000,181,biography
Biggest Heist Ever,6.1,1500,85,biography
Jim Henson: Idea Man,7.7,3900,111,biography
The Bibi Files,7.5,1100,115,biography
Ravens,8.0,80,117,biography
I Am Nevenka,7.1,1100,112,biography
The Ballad of Davy Crockett,4.6,248,96,biography
Atatürk II: 1881-1919,8.9,2100,141,biography
Janis Ian: Breaking Silence,8.1,58,114,biography
Luther: Never Too Much,8.1,848,101,biography
Amar Singh Chamkila,7.8,16000,145,biography
Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,204,86,biography
Elton John: Never Too Late,6.5,2000,102,biography
Swatantrya Veer Savarkar,7.7,18000,176,biography
Havnaa,7.2,246,110,biography
"Disco, Ibiza, Locomia",6.0,1500,104,biography
Miyazaki: L'Esprit de la Nature,7.1,217,84,biography
Miséria,5.3,101,99,biography
The Great Ambition,7.2,721,123,biography
The Beach Boys,7.1,2100,113,biography
I Am: Celine Dion,7.7,7900,103,biography
Road Diary: Bruce Springsteen and the E Street Band,7.7,995,99,biography
Becoming Madonna,6.9,224,91,biography
Federer: Twelve Final Days,7.3,4100,88,biography
The Shamrock Spitfire,5.2,482,108,biography
Beautiful Rebel,6.3,1000,112,biography
John Cranko,7.1,188,133,biography
La Grande,9.0,40,95,biography
Papa,7.5,327,131,biography
Faye,7.1,3100,91,biography
The World According to Allee Willis,7.7,73,97,biography
Never Look Away,7.2,265,85,biography
Münter & Kandinsky,6.5,97,126,biography
Oscar Wilde About America,4.4,30,98,biography
Gundi: Legend of Love,9.0,5500,166,biography
Taghiev: Oil,9.2,72,120,biography
La casa,6.9,939,83,biography
House of Ga'a,3.9,489,119,biography
The Truth vs. Alex Jones,7.5,3000,121,biography
Nahir,4.7,1100,122,biography
Ae Watan Mere Watan,4.7,1400,133,biography
Lula,5.6,186,90,biography
Hola Frida,7.2,32,82,biography
Vindication Swim,6.0,210,98,biography
Main Atal Hoon,6.9,6300,139,biography
Jenni,6.8,44,113,biography
Cookster: The Darkest Days,8.2,40,119,biography
Sabbath Queen,8.0,66,105,biography
Samia,6.8,138,102,biography
The Sidemen Story,6.7,1700,99,biography
Becoming Hitchcock: The Legacy of Blackmail,7.2,266,72,biography
ZEF: The Story of Die Antwoord,7.3,802,90,biography
Silvio,3.0,515,114,biography
Blood'less' Revolution,6.7,289,103,biography
Diddy: Summit to Plummet,2.3,203,60,biography
National Theatre Live: Nye,8.0,268,160,biography
Marcella,8.9,19,97,biography
Hayatla Baris,6.3,372,125,biography
From Roger Moore with Love,7.4,338,79,biography
The Life and Deaths of Christopher Lee,7.2,447,99,biography
Mit einem Tiger schlafen,6.8,152,107,biography
The Man Who Loved UFOs,5.2,599,107,biography
Nedelja,7.2,1900,130,biography
Giroud,6.1,17,80,biography
Klitschko: More Than a Fight,6.3,508,96,biography
Concepción,8.8,25,140,biography
Stevie Van Zandt: Disciple,7.9,664,147,biography
"Iki Gözüm Ahmet, Sürgün",3.7,139,113,biography
Estimados Señores,7.7,61,98,biography
Der Soldat Monika,7.0,26,109,biography
Laura,6.5,239,104,biography
Don't Ever Stop,9.5,27,85,biography
Bir Cumhuriyet Sarkisi,7.7,387,128,biography
Gary,6.6,537,91,biography
Ennio Doris - C'è anche domani,5.2,102,90,biography
Raghuveer,8.9,68,125,biography
Daytime Revolution,6.8,92,108,biography
Saint Nick of Bethlehem,9.2,101,93,biography
Patrice: The Movie,8.3,229,102,biography
Nasty,7.8,1100,103,biography
Tears of Cem Karaca,7.2,2000,123,biography
Funmilayo Ransome-Kuti,8.5,94,91,biography
Hyper: The Stevie Hyper D Story,8.8,30,91,biography
Sharon Stone: Survival Instinct,6.9,65,52,biography
Dharmaveer 2,5.4,10000,130,biography
Memoir Seorang Guru,7.1,125,120,biography
"Carville: Winning Is Everything, Stupid",7.2,269,98,biography
Padatik,7.9,106,126,biography
Kulej. Dwie strony medalu,6.4,322,148,biography
Michael Jackson: Ungloved,6.5,24,60,biography
God Be with Us,6.3,15,90,biography
Spyral,8.6,19,83,biography
Sadik Ahmet,7.7,414,125,biography
Levoton Tuhkimo,6.4,416,88,biography
Il était une fois Michel Legrand,8.0,39,109,biography
Madu,5.3,266,100,biography
